ПОДРОБНЫЙ АНАЛИЗ ЗИГЗАГОВ
==================================================
Дата создания: 2025-08-06 14:50:54
Файл данных: processed_data/ml_data.csv
Колонка зигзага: zigzag (5.0%)

ОБЩАЯ СТАТИСТИКА
------------------------------
Всего записей: 266,184
Точек зигзага: 1,532
Анализируемых пар: 1,531

СТАТИСТИКА РАССТОЯНИЙ
------------------------------
Процентное изменение (%):
  Среднее: 10.0767
  Минимальное: 5.0073
  Максимальное: 65.9966
  Медиана: 8.5456
  Стд. отклонение: 5.3095

Изменение цены ($):
  Среднее: 2713.0940
  Минимальное: 167.6800
  Максимальное: 33515.6400
  Медиана: 1748.9900
  Стд. отклонение: 2920.2910

Расстояние в свечах:
  Среднее: 173.7348
  Минимальное: 1.0000
  Максимальное: 4038.0000
  Медиана: 65.0000
  Стд. отклонение: 307.9331

ДЕТАЛЬНЫЙ СПИСОК ВСЕХ РАССТОЯНИЙ
----------------------------------------
№    Тип1  Тип2  Процент%   Цена$        Свечи   
236  MIN   MAX   6.443      447.22       2       
237  MAX   MIN   9.768      721.67       24      
238  MIN   MAX   9.387      625.77       15      
239  MAX   MIN   9.494      692.33       35      
240  MIN   MAX   9.443      623.26       80      
241  MAX   MIN   10.983     793.36       103     
242  MIN   MAX   16.952     1090.00      212     
243  MAX   MIN   12.677     953.31       121     
244  MIN   MAX   5.106      335.31       28      
245  MAX   MIN   5.824      402.00       104     
246  MIN   MAX   10.538     685.00       281     
247  MAX   MIN   7.989      574.00       45      
248  MIN   MAX   21.195     1401.23      253     
249  MAX   MIN   5.869      470.23       21      
250  MIN   MAX   9.167      691.39       80      
251  MAX   MIN   5.647      464.92       38      
252  MIN   MAX   8.510      661.07       148     
253  MAX   MIN   7.167      604.14       227     
254  MIN   MAX   15.457     1209.60      333     
255  MAX   MIN   5.202      470.00       16      
256  MIN   MAX   13.950     1194.82      349     
257  MAX   MIN   10.552     1029.82      49      
258  MIN   MAX   5.212      455.01       29      
259  MAX   MIN   5.807      533.39       46      
260  MIN   MAX   8.592      743.38       100     
261  MAX   MIN   5.588      525.00       54      
262  MIN   MAX   7.898      700.51       105     
263  MAX   MIN   8.046      770.02       233     
264  MIN   MAX   13.857     1219.51      384     
265  MAX   MIN   18.633     1867.00      647     
266  MIN   MAX   7.486      610.36       155     
267  MAX   MIN   5.550      486.36       32      
268  MIN   MAX   7.285      602.99       62      
269  MAX   MIN   10.902     968.09       305     
270  MIN   MAX   8.811      697.10       272     
271  MAX   MIN   15.588     1342.01      338     
272  MIN   MAX   5.264      382.56       83      
273  MAX   MIN   8.061      616.60       366     
274  MIN   MAX   10.717     753.74       500     
275  MAX   MIN   5.505      428.69       221     
276  MIN   MAX   5.531      407.00       141     
277  MAX   MIN   21.202     1646.32      638     
278  MIN   MAX   9.828      601.32       102     
279  MAX   MIN   5.940      399.14       182     
280  MIN   MAX   8.241      520.88       279     
281  MAX   MIN   13.488     922.80       322     
282  MIN   MAX   5.762      341.06       97      
283  MAX   MIN   8.147      510.00       71      
284  MIN   MAX   10.435     600.00       90      
285  MAX   MIN   8.976      570.00       347     
286  MIN   MAX   17.386     1004.92      513     
287  MAX   MIN   5.305      359.92       167     
288  MIN   MAX   6.119      393.16       161     
289  MAX   MIN   10.973     748.16       481     
290  MIN   MAX   26.853     1630.00      740     
291  MAX   MIN   6.351      489.00       33      
292  MIN   MAX   17.761     1280.77      382     
293  MAX   MIN   8.087      686.77       243     
294  MIN   MAX   6.272      489.51       148     
295  MAX   MIN   26.180     2171.51      1026    
296  MIN   MAX   8.163      499.81       113     
297  MAX   MIN   9.842      651.81       121     
298  MIN   MAX   8.659      517.00       50      
299  MAX   MIN   5.518      358.00       26      
300  MIN   MAX   6.770      415.00       130     
301  MAX   MIN   10.160     665.00       74      
302  MIN   MAX   12.398     729.00       149     
303  MAX   MIN   6.104      403.40       31      
304  MIN   MAX   6.678      414.40       195     
305  MAX   MIN   6.042      400.00       281     
306  MIN   MAX   10.652     662.54       108     
307  MAX   MIN   9.173      631.34       80      
308  MIN   MAX   18.537     1158.80      1208    
309  MAX   MIN   17.530     1299.00      418     
310  MIN   MAX   7.756      473.99       507     
311  MAX   MIN   7.016      461.99       542     
312  MIN   MAX   11.694     716.03       213     
313  MAX   MIN   7.516      514.01       360     
314  MIN   MAX   7.744      489.78       245     
315  MAX   MIN   8.948      609.80       1313    
316  MIN   MAX   23.771     1475.00      317     
317  MAX   MIN   12.474     958.00       9       
318  MIN   MAX   5.496      369.41       10      
319  MAX   MIN   11.935     846.39       1550    
320  MIN   MAX   5.927      370.13       622     
321  MAX   MIN   18.317     1211.73      817     
322  MIN   MAX   7.023      379.47       38      
323  MAX   MIN   23.827     1377.89      418     
324  MIN   MAX   13.007     572.97       29      
325  MAX   MIN   13.097     651.97       18      
326  MIN   MAX   10.661     461.20       52      
327  MAX   MIN   6.629      317.36       48      
328  MIN   MAX   5.636      251.93       17      
329  MAX   MIN   10.564     498.83       110     
330  MIN   MAX   7.200      304.06       78      
331  MAX   MIN   15.514     702.31       88      
332  MIN   MAX   7.064      270.19       2       
333  MAX   MIN   10.799     442.22       44      
334  MIN   MAX   10.552     385.43       3       
335  MAX   MIN   5.624      227.09       25      
336  MIN   MAX   11.073     422.00       18      
337  MAX   MIN   12.568     532.00       75      
338  MIN   MAX   7.728      286.00       11      
339  MAX   MIN   7.023      280.00       9       
340  MIN   MAX   5.746      213.00       38      
341  MAX   MIN   5.890      230.88       13      
342  MIN   MAX   19.120     705.35       137     
343  MAX   MIN   6.117      268.82       30      
344  MIN   MAX   7.871      324.73       29      
345  MAX   MIN   11.401     507.38       102     
346  MIN   MAX   9.383      369.99       150     
347  MAX   MIN   12.335     531.99       207     
348  MIN   MAX   8.040      304.00       36      
349  MAX   MIN   9.963      407.00       152     
350  MIN   MAX   6.036      221.99       1       
351  MAX   MIN   17.318     675.39       145     
352  MIN   MAX   10.091     325.39       7       
353  MAX   MIN   6.296      223.49       7       
354  MIN   MAX   5.065      168.50       15      
355  MAX   MIN   7.811      273.00       52      
356  MIN   MAX   13.532     436.00       110     
357  MAX   MIN   9.122      333.68       187     
358  MIN   MAX   5.044      167.68       96      
359  MAX   MIN   9.615      335.74       287     
360  MIN   MAX   23.967     756.47       375     
361  MAX   MIN   7.220      282.50       33      
362  MIN   MAX   13.491     489.77       77      
363  MAX   MIN   6.311      260.00       15      
364  MIN   MAX   7.254      279.99       20      
365  MAX   MIN   9.082      375.99       76      
366  MIN   MAX   11.530     434.00       239     
367  MAX   MIN   13.139     551.59       123     
368  MIN   MAX   5.231      190.74       41      
369  MAX   MIN   7.874      302.15       183     
370  MIN   MAX   10.099     357.00       135     
371  MAX   MIN   6.015      234.10       61      
372  MIN   MAX   6.714      245.60       47      
373  MAX   MIN   6.998      273.17       127     
374  MIN   MAX   12.106     439.47       751     
375  MAX   MIN   15.443     628.50       482     
376  MIN   MAX   8.099      278.70       552     
377  MAX   MIN   7.665      285.15       294     
378  MIN   MAX   6.640      228.09       368     
379  MAX   MIN   8.546      313.02       289     
380  MIN   MAX   25.316     848.08       2478    
381  MAX   MIN   12.407     520.83       357     
382  MIN   MAX   5.733      210.83       76      
383  MAX   MIN   5.589      217.31       364     
384  MIN   MAX   31.895     1170.75      2763    
